video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=j5yJmnuvx6M&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhaQ%3D%3D,/@CBSSundayMorning,CBS Sunday Morning,Sunday Journal: The origin of Hong Kong protests,74K,6 years,For months protesters in Hong Kong have demonstrated against a new law being debated that would curtail democratic principles ...,2026-01-22 02:50:42.910009
/watch?v=4bT7dDDkEq8&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhaQ%3D%3D,/@Reuters,Reuters,HK court sentences seven for 2019 attack on protesters,1.6K,4 years,#HongKongProtests #YuenLong #News #Reuters Subscribe: http://smarturl.it/reuterssubscribe Reuters brings you the latest ...,2026-01-22 02:50:42.911590
/watch?v=6_RdnVtfZPY&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhaQ%3D%3D,/@Vox,Vox,"Hong Kong’s huge protests, explained",9.6M,6 years,The people of Hong Kong are protesting in record-breaking numbers. Become a Video Lab member! http://bit.ly/video-lab ...,2026-01-22 02:50:42.915329
/watch?v=pataOgLfhQQ&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhaQ%3D%3D,/@60minutes,60 Minutes,Jimmy Lai and Hong Kong pro-democracy demonstrations in 2019 | 60 Minutes Archive,27K,1 month,"60 Minutes reported from Hong Kong in 2019, when months of pro-democracy demonstrations turned increasingly violent. Jimmy ...",2026-01-22 02:50:42.918237
/watch?v=qopfgTQxXGg&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhaQ%3D%3D,/@humanrightsfdn,Human Rights Foundation,Hong Kong Protests | June 2019,795,6 years,The people of Hong Kong took to the streets in June 2019 to protest. Their hope was to prevent the Hong Kong government from ...,2026-01-22 02:50:42.919443
/watch?v=kG62SDFl8C4&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhaQ%3D%3D,/@SBSDateline,SBS Dateline,Meet the forces behind Hong Kong's historic protests,168K,6 years,How do you turn an entire city into a protest movement? Dateline meets the organisers of Hong Kong's pro-democracy protests.,2026-01-22 02:50:42.922100
/watch?v=g9QIETD4QV0&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhadIHCQmHCgGHKiGM7w%3D%3D,/@nytimes,The New York Times,Hear Hong Kong Protesters Read Their Final Goodbyes | The Dispatch,293K,6 years,"As violence escalates between demonstrators and the police in Hong Kong, protesters have started writing “last letters” to their ...",2026-01-22 02:50:42.925414
/watch?v=XVeBENYjxjE&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhaQ%3D%3D,/@VICENews,VICE News,Why Hong Kong Is Rising Up (HBO),552K,6 years,"For the second time in four days, Hong Kong was brought to a standstill by mass protests over a controversial extradition bill that ...",2026-01-22 02:50:42.926627
/watch?v=POAgMKvOJHg&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhaQ%3D%3D,/@markets,Bloomberg Television,Special Report: Hong Kong on Edge,1.6M,6 years,2020 update: Hong Kong on Edge 2 https://youtu.be/aNKzVafw12U Bloomberg Television goes inside the protests in Hong Kong ...,2026-01-22 02:50:42.928905
/watch?v=WjOTSAOZ4VM&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhaQ%3D%3D,/@markets,Bloomberg Television,Hong Kong Protesters Trapped in University Surrounded by Police,97K,6 years,"Nov.18 -- Hong Kong leader Carrie Lam urged protesters holed up in a Kowloon university to heed police calls to surrender, ...",2026-01-22 02:50:42.930089
/watch?v=mb5wDf-fw2w&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhadIHCQmHCgGHKiGM7w%3D%3D,/@InsideEdition,Inside Edition,Hong Kong Protesters Use 'Les Mis' Song as Anthem,444K,6 years,"Throughout June, millions of protesters have been marching in Hong Kong in effort to withdraw an extradition bill that would send ...",2026-01-22 02:50:42.932969
/watch?v=32KTKXZZ-BI&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhaQ%3D%3D,/@wsj,The Wall Street Journal,How Hong Kong Protesters Evade Surveillance With Tech | WSJ,7M,6 years,"Protesters in Hong Kong fear they are being monitored by the local government and potentially by China, a country at the cutting ...",2026-01-22 02:50:42.934993
/watch?v=xcODtfRb--M&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhaQ%3D%3D,/@PBSNewsHour,PBS NewsHour,Pro-democracy demonstrators and Beijing fight for the future of Hong Kong,54K,6 years,Hong Kong residents have been protesting for months against an extradition bill that would have allowed criminal suspects to be ...,2026-01-22 02:50:42.937648
/watch?v=hj43B0p4uo0&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhaQ%3D%3D,/@InstituteofChineseStudiesDelhi,Institute of Chinese Studies Delhi,Contesting Citizenship: Comparing 2019 Hong Kong with 1919 Shanghai,62,5 years,"Many discussions of the ongoing Hong Kong protests draw parallels to those in Beijing in 1989. In today's Hong Kong, as in 1989 ...",2026-01-22 02:50:42.941976
/watch?v=pu_KHGfsqnM&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhaQ%3D%3D,/@ABCNews,ABC News,"Police fire warning shots, tear gas amid Hong Kong protests | ABC News",30K,6 years,Police even pointed their weapons directly at demonstrators as they used live ammunition for the first time since the three-month ...,2026-01-22 02:50:42.943232
/watch?v=c-AzfXMJkI8&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhaQ%3D%3D,/@ABCNews,ABC News,‘Citizen X’ and Hong Kong protesters’ battle for freedom | Nightline,2.1M,6 years,"Hong Kong's youth believe they are engaged in an existential struggle for the future of their region. A student, who asked to ...",2026-01-22 02:50:42.944728
/watch?v=XKuiYHhDeBM&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhaQ%3D%3D,/@CBSNews,CBS News,Hong Kong residents protest increasing Chinese control,2.9K,6 years,"Millions of protestors took to the streets of Hong Kong over fears of increasing chinese control, despite the suspension of an ...",2026-01-22 02:50:42.945931
/watch?v=fMAgFicfN3g&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhadIHCQmHCgGHKiGM7w%3D%3D,/@markets,Bloomberg Television,China to Respond to Hong Kong Protests,49K,6 years,Jul.28 -- China's top Hong Kong policy office will give its first response on Monday on two months of increasingly chaotic unrest in ...,2026-01-22 02:50:42.949196
/watch?v=p08ETHX85wc&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhaQ%3D%3D,/@SouthChinaMorningPost,South China Morning Post,NBA's Shanghai tour in disarray after Morey's Hong Kong protest tweet,29K,6 years,"Subscribe to our YouTube channel for free here: https://sc.mp/subscribe-youtube For the second time in as many days, a planned ...",2026-01-22 02:50:42.950425
/watch?v=Wkhxw-FkMWU&pp=ygUfaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlTaGFuZ2hhaQ%3D%3D,/@France24_en,FRANCE 24 English,7 Hong Kong democracy leaders convicted over 2019 protests,707,4 years,Seven #HongKong pro-#democracy advocates were convicted Thursday on charges of organizing and participating in an ...,2026-01-22 02:50:42.951655
/watch?v=SNywbwraOsw&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@markets,Bloomberg Television,3 Hong Kong Protest Leaders Arrested,84K,6 years,Aug.29 -- The party of prominent Hong Kong Democracy activist Joshua Wong says he and another party co-founder have been ...,2026-01-22 02:50:51.371116
/watch?v=V0iytr0qM90&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@nytimes,The New York Times,How Hong Kong’s Protesters Evade Police and Keep the Demonstrations Alive | Visual Investigations,674K,6 years,Get an email as soon as our next Visual Investigation is published: https://nyti.ms/3xhj7dE Hong Kong's protesters have employed ...,2026-01-22 02:50:51.373331
/watch?v=0oZHAPT-7ts&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@CBCTheNational,CBC News: The National,Hong Kong protests turn violent,251K,6 years,"Democracy protests in Hong Kong became violent on Tuesday, at least 66 people were injured, including one protester who was ...",2026-01-22 02:50:51.377081
/watch?v=qLxw19eJGv0&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@CBSNews,CBS News,Hong Kong protesters refuse to back down over extradition bill,14K,6 years,Protesters in Hong Kong are refusing to back down after the city's embattled leader Carrie Lam ignored a deadline to permanently ...,2026-01-22 02:50:51.379116
/watch?v=d-tqfal4w34&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@dwnews,DW News,Hong Kong protests against extradition law | DW News,62K,6 years,In Hong Kong hundreds of thousands of people have taken to the streets for a huge rally against a proposed extradition law.,2026-01-22 02:50:51.380745
/watch?v=ZbYRJ0bMAyQ&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@CBSNews,CBS News,Chinese extradition bill spurs mass protests in Hong Kong,13K,6 years,Hong Kong's chief executive Carrie Lam says she will be moving forward with her proposed amendments to a Chinese extradition ...,2026-01-22 02:50:51.382255
/watch?v=az8wRP9y_dM&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWnSBwkJhwoBhyohjO8%3D,/@VOANews,Voice of America,Police Fire Tear Gas at Protesters Inside Hong Kong Train Station,82K,6 years,"Police fired tear gas inside a Hong Kong train station in reaction to continued protests, Sunday, August 11. It was not clear how ...",2026-01-22 02:50:51.383804
/watch?v=A9OCwuVcX2c&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@wsj,The Wall Street Journal,Hong Kong Protests Beijing Intervention in Swearing-In Dispute,5K,9 years,"Despite a big protest in Hong Kong on Sunday night against Beijing's intervention, China's top legislative body on Monday barred ...",2026-01-22 02:50:51.387570
/watch?v=OlV_NzITCoM&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@CBSNews,CBS News,China's state media spreads false information about Hong Kong protests,29K,6 years,"In Hong Kong, protests against a controversial extradition bill continue, but China is looking to downplay the unrest. According to ...",2026-01-22 02:50:51.389155
/watch?v=cHOCghooY0Y&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@globalnews,Global News,Hong Kong protests: Riot police confront demonstrators in Sham Shui Po,149K,Streamed 6 years,Hong Kong riot police confronted and fired tear gas to disperse hundreds of protesters who had gathered outside a police station ...,2026-01-22 02:50:51.390674
/watch?v=Awjpf8d1pJ4&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@ABCNews,ABC News,Hong Kong protests continue to heat up,13K,6 years,"Demonstrators occupied parliament, vandalizing the Legislative Chamber in opposition to a bill that would extradite criminals ...",2026-01-22 02:50:51.394179
/watch?v=cp2a4v3hBVg&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@FoxNews,Fox News,China blames US for Hong Kong protests,252K,11 years,Dr. Michael Pillsbury gives his take on whether compromise can be achieved between the government and protesters.,2026-01-22 02:50:51.395810
/watch?v=E03t7HFQSJk&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWnSBwkJhwoBhyohjO8%3D,/@FoxNews,Fox News,Should the US get more involved with Hong Kong protests?,64K,6 years,Trump facing pressure to speak out against crackdown; former National Security Council official Brigadier Gen. Robert Spalding ...,2026-01-22 02:50:51.397267
/watch?v=BERRu2yyUDM&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@France24_en,FRANCE 24 English,Hong Kong protesters escalate fight in suburbs,6K,6 years,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2026-01-22 02:50:51.398682
/watch?v=AurZWBsIXgM&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@France24_en,FRANCE 24 English,Risking China's ire over support for Hong Kong protests,1.3K,6 years,... the Hong Kong protests. Visit our website: http://www.france24.com Subscribe to our YouTube channel: http://f24.my/youtubeEN ...,2026-01-22 02:50:51.402284
/watch?v=sQ1OhcbGlp4&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@AFP,AFP News Agency,Hong Kong protesters arrive at Victoria Park for planned huge rally | AFP,5.3K,6 years,Hong Kong democracy activists are hoping to get out a huge crowd in a bid to show the city's leaders that their protest movement ...,2026-01-22 02:50:51.403802
/watch?v=wXOJX-ysXNA&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@CBCNews,CBC News,Hong Kong's protests explained,54K,3 years,Massive protests took place in Hong Kong in 2019 in response to China's increasing control over the small territory. Here's why it's ...,2026-01-22 02:50:51.405861
/watch?v=ZDDDyFs61L0&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@CNBCtelevision,CNBC Television,Hong Kong protestors attacked in violent melee at train station,8.9K,6 years,Assailants armed with metal rods and wooden poles attacked Hong Kong protestors inside a commuter rail station on Sunday.,2026-01-22 02:50:51.407365
/watch?v=kYZ3a__ffYg&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgU2hhbmdoYWk%3D,/@France24_en,FRANCE 24 English,Hong Kong protests: Rally held outside UK consulate after staffer detained,2.8K,6 years,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2026-01-22 02:50:51.410918
